date,well_name,oil_bpd,gas_mscf,water_bpd,bsw_pct,tubing_pressure,temp_c
2026-01-01,WELL-A1,1250.5,1050.2,310.0,19.8,2450.0,65.2
2026-01-02,WELL-A1,1242.0,1045.0,315.5,20.2,2445.0,65.0
2026-01-03,WELL-A1,1238.2,1040.8,320.1,20.5,2440.0,65.1
2026-01-04,WELL-A1,1225.0,1035.0,325.0,20.9,2432.0,64.9
2026-01-05,WELL-A1,1219.8,1030.1,330.4,21.3,2428.0,64.8
2026-01-01,WELL-B2,850.0,620.0,150.0,15.0,1980.0,58.0
2026-01-02,WELL-B2,845.5,618.2,152.0,15.2,1975.0,58.1
2026-01-03,WELL-B2,840.0,615.0,155.0,15.5,1970.0,57.9
2026-01-04,WELL-B2,835.2,610.5,158.0,15.9,1962.0,58.0
2026-01-05,WELL-B2,830.0,608.0,160.2,16.1,1958.0,57.8
