scan_time,equipment_tag,p_discharge,temp_c,flow_rate,vib_rms,speed_rpm,power_kw
2026-03-01T08:00:00,C-101,42.5,68.2,145.0,2.1,8500,450.0
2026-03-01T09:00:00,C-101,42.4,68.5,144.8,2.2,8500,451.2
2026-03-01T10:00:00,C-101,42.6,68.8,145.2,2.1,8505,450.8
2026-03-01T11:00:00,C-101,42.5,69.1,145.0,2.3,8495,452.0
2026-03-01T12:00:00,C-101,42.3,69.4,144.5,2.4,8500,452.5
2026-03-01T08:00:00,P-201,18.2,52.0,85.0,1.4,2950,120.0
2026-03-01T09:00:00,P-201,18.1,52.2,84.8,1.5,2950,120.5
2026-03-01T10:00:00,P-201,18.3,52.1,85.2,1.4,2952,120.2
2026-03-01T11:00:00,P-201,18.2,52.4,85.0,1.5,2948,121.0
2026-03-01T12:00:00,P-201,18.0,52.5,84.7,1.6,2950,121.3
